type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
charge,[2010.       4.      22.       6.      21.      26.218],44,B0040,41,1272,01272.csv,,,
discharge,[2010.       4.      22.       8.      59.      11.468],44,B0040,42,1273,01273.csv,1.7341296392350067,,
charge,[2010.       4.      22.      10.      49.      53.203],44,B0040,43,1274,01274.csv,,,
discharge,[2010.       4.      22.      13.      28.      29.546],44,B0040,44,1275,01275.csv,1.7334756929990074,,
impedance,[2010.       4.      22.      15.      23.      20.265],24,B0040,45,1276,01276.csv,,0.12393120537167894,0.1375811992235432
charge,[2010.       4.      22.      15.      55.       5.187],44,B0040,46,1277,01277.csv,,,
impedance,[2010.      4.     22.     18.     36.     48.75],24,B0040,47,1278,01278.csv,,0.12335649207428787,0.1331525400570718
discharge,[2010.       4.      23.      16.      52.      59.406],44,B0040,48,1279,01279.csv,1.7243057179457875,,
impedance,[2010.       4.      23.      18.      45.      33.031],24,B0040,49,1280,01280.csv,,0.123556032143478,0.13619763751375935
charge,[2010.       4.      23.      19.      17.      17.953],44,B0040,50,1281,01281.csv,,,
impedance,[2010.       4.      23.      21.      59.      15.687],24,B0040,51,1282,01282.csv,,0.12250401868234961,0.13316192756245376
discharge,[2010    4   23   22   31    1],44,B0040,52,1283,01283.csv,1.7318975861687205,,
charge,[2010.       4.      24.       0.      21.      39.015],44,B0040,53,1284,01284.csv,,,
discharge,[2.0100e+03 4.0000e+00 2.4000e+01 2.0000e+00 5.8000e+01 5.5031e+01],44,B0040,54,1285,01285.csv,1.7333691208377457,,
charge,[2010.       4.      24.       4.      49.      39.921],44,B0040,55,1286,01286.csv,,,
discharge,[2010.       4.      24.       7.      27.      28.203],44,B0040,56,1287,01287.csv,1.732175650153278,,
charge,[2010.       4.      24.       9.      18.      11.328],44,B0040,57,1288,01288.csv,,,
discharge,[2010.      4.     24.     11.     56.     33.14],44,B0040,58,1289,01289.csv,1.7334832776102866,,
charge,[2010.       4.      24.      13.      47.      11.187],44,B0040,59,1290,01290.csv,,,
discharge,[2010.       4.      24.      16.      24.      41.656],44,B0040,60,1291,01291.csv,1.732372495746513,,
impedance,[2010.       4.      24.      18.      19.       6.343],24,B0040,61,1292,01292.csv,,0.12273986068984827,0.13810798376608746
charge,[2010.       4.      24.      18.      50.      52.015],44,B0040,62,1293,01293.csv,,,
impedance,[2010.       4.      24.      21.      33.      55.265],24,B0040,63,1294,01294.csv,,0.12220093881840091,0.1326713927654389
discharge,[2010.       4.      24.      22.       5.      41.156],44,B0040,64,1295,01295.csv,1.7338175297202416,,
charge,[2.010e+03 4.000e+00 2.400e+01 2.300e+01 5.600e+01 1.906e+00],44,B0040,65,1296,01296.csv,,,
discharge,[2.0100e+03 4.0000e+00 2.5000e+01 2.0000e+00 3.3000e+01 5.9171e+01],44,B0040,66,1297,01297.csv,1.7329630786357868,,
charge,[2010.       4.      25.       4.      24.      28.203],44,B0040,67,1298,01298.csv,,,
discharge,[2.0100e+03 4.0000e+00 2.5000e+01 7.0000e+00 2.0000e+00 2.6234e+01],44,B0040,68,1299,01299.csv,1.7318839084573339,,
charge,[2010.       4.      25.       8.      52.      42.531],44,B0040,69,1300,01300.csv,,,
discharge,[2010.       4.      25.      11.      31.       4.593],44,B0040,70,1301,01301.csv,1.7306960059812662,,
charge,[2010.       4.      25.      13.      21.      18.453],44,B0040,71,1302,01302.csv,,,
discharge,[2010.       4.      25.      16.       0.      19.781],44,B0040,72,1303,01303.csv,1.7296011601947467,,
impedance,[2010.       4.      25.      17.      54.      30.406],24,B0040,73,1304,01304.csv,,0.12216218700623653,0.1379887813251949
charge,[2010.       4.      25.      18.      26.      16.593],44,B0040,74,1305,01305.csv,,,
impedance,[2010.       4.      25.      21.      10.      12.703],24,B0040,75,1306,01306.csv,,0.12198587111152699,0.13339876299562053
discharge,[2010.       4.      25.      21.      41.      58.937],44,B0040,76,1307,01307.csv,1.7296187381064656,,
charge,[2.01e+03 4.00e+00 2.50e+01 2.30e+01 3.20e+01 5.31e-01],44,B0040,77,1308,01308.csv,,,
discharge,[2.0100e+03 4.0000e+00 2.6000e+01 2.0000e+00 1.9000e+01 2.2218e+01],44,B0040,78,1309,01309.csv,1.7307198617163877,,
charge,[2010.       4.      26.       4.       9.      40.156],44,B0040,79,1310,01310.csv,,,
discharge,[2010.       4.      26.       6.      50.      42.203],44,B0040,80,1311,01311.csv,1.729274556175907,,
charge,[2010.       4.      26.       8.      40.      56.187],44,B0040,81,1312,01312.csv,,,
discharge,[2010.      4.     26.     11.     20.     44.75],44,B0040,82,1313,01313.csv,1.7297962212599596,,
charge,[2010.       4.      26.      13.      10.      50.468],44,B0040,83,1314,01314.csv,,,
discharge,[2010.       4.      26.      15.      51.       7.953],44,B0040,84,1315,01315.csv,1.7268942069037494,,
impedance,[2010.       4.      26.      17.      45.       4.484],24,B0040,85,1316,01316.csv,,0.1228666424484457,0.13936339080689636
charge,[2010.      4.     26.     18.     16.     51.14],44,B0040,86,1317,01317.csv,,,
impedance,[2010.       4.      26.      21.       3.      28.609],24,B0040,87,1318,01318.csv,,0.12121394718235165,0.13369181577109937
discharge,[2010.       4.      26.      21.      35.      15.343],44,B0040,88,1319,01319.csv,1.7272191689306016,,
charge,[2010.       4.      26.      23.      25.       3.734],44,B0040,89,1320,01320.csv,,,
discharge,[2.0100e+03 4.0000e+00 2.7000e+01 2.0000e+00 5.0000e+00 4.1234e+01],44,B0040,90,1321,01321.csv,1.7285674981160106,,
charge,[2010.       4.      27.       3.      55.      37.234],44,B0040,91,1322,01322.csv,,,
discharge,[2010.       4.      27.       6.      36.       5.468],44,B0040,92,1323,01323.csv,1.726636381605547,,
charge,[2010.       4.      27.       8.      25.      55.031],44,B0040,93,1324,01324.csv,,,
discharge,[2010.       4.      27.      11.       7.      40.968],44,B0040,94,1325,01325.csv,1.7262424141835067,,
charge,[2010.       4.      27.      12.      57.      30.421],44,B0040,95,1326,01326.csv,,,
discharge,[2010.       4.      27.      15.      43.      29.625],44,B0040,96,1327,01327.csv,1.7252725927602899,,
impedance,[2010.       4.      27.      17.      37.      16.015],24,B0040,97,1328,01328.csv,,0.12322650803122673,0.13987291065132254
charge,[2010.       4.      27.      18.       9.       3.375],44,B0040,98,1329,01329.csv,,,
impedance,[2010.       4.      27.      20.      57.      53.687],24,B0040,99,1330,01330.csv,,0.12260260505135243,0.13334727596154902
discharge,[2010.       4.      28.      13.      22.      57.656],44,B0040,100,1331,01331.csv,1.6668026877455053,,
impedance,[2010.       4.      28.      14.      21.       8.187],24,B0040,101,1332,01332.csv,,0.12307427553172959,0.13637310674165262
charge,[2010.       4.      28.      14.      52.      55.562],44,B0040,102,1333,01333.csv,,,
impedance,[2010.       4.      28.      17.      34.      11.406],24,B0040,103,1334,01334.csv,,0.1232360911234898,0.13404131221096813
discharge,[2010.       4.      28.      18.       5.      58.859],44,B0040,104,1335,01335.csv,1.666754853762041,,
charge,[2010.       4.      28.      19.       0.      20.687],44,B0040,105,1336,01336.csv,,,
discharge,[2010.       4.      28.      21.      37.      16.375],44,B0040,106,1337,01337.csv,1.6583274448761054,,
charge,[2010.       4.      28.      22.      31.      34.312],44,B0040,107,1338,01338.csv,,,
discharge,[2.01e+03 4.00e+00 2.90e+01 1.00e+00 8.00e+00 3.35e+01],44,B0040,108,1339,01339.csv,1.65032263550715,,
charge,[2.0100e+03 4.0000e+00 2.9000e+01 2.0000e+00 2.0000e+00 3.8281e+01],44,B0040,109,1340,01340.csv,,,
discharge,[2010.       4.      29.       4.      39.      21.156],44,B0040,110,1341,01341.csv,1.6493406341242296,,
charge,[2010.       4.      29.       5.      33.      24.531],44,B0040,111,1342,01342.csv,,,
discharge,[2010.       4.      29.       8.      11.       8.671],44,B0040,112,1343,01343.csv,1.641919055037739,,
impedance,[2010.       4.      29.       9.       8.      59.468],24,B0040,113,1344,01344.csv,,0.12195900314349246,0.1359097925234744
charge,[2010.       4.      29.       9.      40.      47.281],44,B0040,114,1345,01345.csv,,,
impedance,[2.01e+03 4.00e+00 2.90e+01 1.20e+01 2.40e+01 5.78e-01],24,B0040,115,1346,01346.csv,,0.12369639902717047,0.13417591396950698
discharge,[2.010e+03 5.000e+00 4.000e+00 1.300e+01 2.200e+01 1.921e+00],44,B0040,116,1347,01347.csv,0.425812451177779,,
impedance,[2010.       5.       4.      13.      52.      15.937],24,B0040,117,1348,01348.csv,,0.1392745452413228,0.14981188825358746
charge,[2010.       5.       4.      14.      24.       3.921],44,B0040,118,1349,01349.csv,,,
impedance,[2010.       5.       4.      16.      54.      50.843],24,B0040,119,1350,01350.csv,,0.13851689250703758,0.14988972373642645
discharge,[2010.       5.       4.      17.      26.      38.953],44,B0040,120,1351,01351.csv,0.5569902643736575,,
charge,[2010.       5.       4.      17.      52.      57.984],44,B0040,121,1352,01352.csv,,,
impedance,[2009.       4.       7.      15.      59.      18.718],43,B0029,0,1353,01353.csv,,0.02834045552997675,0.044702257716667325
discharge,[2.009e+03 4.000e+00 7.000e+00 1.600e+01 3.100e+01 1.890e+00],43,B0029,1,1354,01354.csv,1.697507332205763,,
charge,[2009.       4.       7.      16.      58.      34.156],43,B0029,2,1355,01355.csv,,,
discharge,[2009.       4.       7.      19.      44.      26.578],43,B0029,3,1356,01356.csv,1.844701206961174,,
charge,[2009.       4.       7.      20.      14.      29.375],43,B0029,4,1357,01357.csv,,,
discharge,[2009    4    7   22   58   18],43,B0029,5,1358,01358.csv,1.8254376674722927,,
charge,[2009.       4.       7.      23.      28.       3.703],43,B0029,6,1359,01359.csv,,,
discharge,[2.0090e+03 4.0000e+00 8.0000e+00 2.0000e+00 1.1000e+01 3.0218e+01],43,B0029,7,1360,01360.csv,1.815750429913437,,
charge,[2.009e+03 4.000e+00 8.000e+00 2.000e+00 4.100e+01 7.921e+00],43,B0029,8,1361,01361.csv,,,
discharge,[2009.       4.       8.       5.      23.      26.343],43,B0029,9,1362,01362.csv,1.8132993337127028,,
impedance,[2009.       4.       8.       5.      56.      52.734],43,B0029,10,1363,01363.csv,,0.027799933820267582,0.04097831371663723
charge,[2009.       4.       8.       6.      28.      36.156],43,B0029,11,1364,01364.csv,,,
impedance,[2009.       4.       8.       9.      17.       2.109],43,B0029,12,1365,01365.csv,,0.02814132119972847,0.03954262418162729
discharge,[2009.       4.       9.      10.      24.      58.296],43,B0029,13,1366,01366.csv,1.8151647619660576,,
charge,[2009.      4.      9.     10.     54.     17.39],43,B0029,14,1367,01367.csv,,,
discharge,[2009.       4.       9.      13.      33.      59.843],43,B0029,15,1368,01368.csv,1.8143317955190057,,
charge,[2009.       4.       9.      14.       3.      18.031],43,B0029,16,1369,01369.csv,,,
discharge,[2009.       4.       9.      16.      42.      43.421],43,B0029,17,1370,01370.csv,1.801343601809866,,
charge,[2009.       4.       9.      17.      11.      50.437],43,B0029,18,1371,01371.csv,,,
discharge,[2009.       4.       9.      19.      50.      50.062],43,B0029,19,1372,01372.csv,1.7881558802945825,,
charge,[2009.       4.       9.      20.      19.      45.546],43,B0029,20,1373,01373.csv,,,
discharge,[2009.       4.       9.      22.      58.      17.875],43,B0029,21,1374,01374.csv,1.7760714604539518,,
impedance,[2009.       4.       9.      23.      31.       2.984],43,B0029,22,1375,01375.csv,,0.028695045533473497,0.04030237516698406
charge,[2.0090e+03 4.0000e+00 1.0000e+01 0.0000e+00 2.0000e+00 4.6968e+01],43,B0029,23,1376,01376.csv,,,
impedance,[2.0090e+03 4.0000e+00 1.0000e+01 2.0000e+00 4.8000e+01 4.1093e+01],43,B0029,24,1377,01377.csv,,0.028862176890309586,0.03974093563379893
discharge,[2009.       4.      10.      12.      49.       4.718],43,B0029,25,1378,01378.csv,1.7852807447597443,,
charge,[2009.       4.      10.      13.      17.      58.593],43,B0029,26,1379,01379.csv,,,
discharge,[2009.       4.      10.      15.      54.      20.093],43,B0029,27,1380,01380.csv,1.7698116401111978,,
charge,[2009.       4.      10.      16.      23.      10.515],43,B0029,28,1381,01381.csv,,,
discharge,[2009.       4.      10.      18.      59.       6.625],43,B0029,29,1382,01382.csv,1.7565231680521758,,
charge,[2009.       4.      10.      19.      27.      45.515],43,B0029,30,1383,01383.csv,,,
discharge,[2009.       4.      10.      22.       3.      26.625],43,B0029,31,1384,01384.csv,1.7543413277348154,,
charge,[2009.       4.      10.      22.      31.      53.968],43,B0029,32,1385,01385.csv,,,
discharge,[2.0090e+03 4.0000e+00 1.1000e+01 1.0000e+00 8.0000e+00 2.7484e+01],43,B0029,33,1386,01386.csv,1.7392875506998715,,
impedance,[2.0090e+03 4.0000e+00 1.1000e+01 1.0000e+00 4.0000e+01 5.1828e+01],43,B0029,34,1387,01387.csv,,0.028229387375879742,0.041443692047855835
charge,[2.0090e+03 4.0000e+00 1.1000e+01 2.0000e+00 1.2000e+01 3.6406e+01],43,B0029,35,1388,01388.csv,,,
impedance,[2009.       4.      11.       4.      55.      36.515],43,B0029,36,1389,01389.csv,,0.02829375396231879,0.03991689466131403
discharge,[2009.       4.      13.       9.      51.      27.484],43,B0029,37,1390,01390.csv,1.7797845109331345,,
charge,[2009.       4.      13.      10.      20.       8.484],43,B0029,38,1391,01391.csv,,,
discharge,[2009.       4.      13.      12.      55.      24.468],43,B0029,39,1392,01392.csv,1.7657088508465202,,
charge,[2009.       4.      13.      13.      24.      13.625],43,B0029,40,1393,01393.csv,,,
discharge,[2009.       4.      13.      15.      59.      56.875],43,B0029,41,1394,01394.csv,1.7523941408724169,,
charge,[2009.       4.      13.      16.      28.      34.562],43,B0029,42,1395,01395.csv,,,
discharge,[2009.       4.      13.      19.       4.      39.468],43,B0029,43,1396,01396.csv,1.7380191225603105,,
charge,[2009.       4.      13.      19.      33.       4.687],43,B0029,44,1397,01397.csv,,,
discharge,[2009.       4.      13.      22.       9.      45.531],43,B0029,45,1398,01398.csv,1.7312214443143976,,
impedance,[2009.       4.      13.      22.      42.       5.078],43,B0029,46,1399,01399.csv,,0.02861301461538251,0.04155896609671493
charge,[2009.       4.      13.      23.      13.      50.234],43,B0029,47,1400,01400.csv,,,
impedance,[2.0090e+03 4.0000e+00 1.4000e+01 1.0000e+00 5.5000e+01 1.5437e+01],43,B0029,48,1401,01401.csv,,0.02799948462674519,0.040024621918431674
discharge,[2009.       4.      14.      10.      33.      23.937],43,B0029,49,1402,01402.csv,1.7379128985265808,,
charge,[2.0090e+03 4.0000e+00 1.4000e+01 1.1000e+01 1.0000e+00 4.9609e+01],43,B0029,50,1403,01403.csv,,,
discharge,[2009.       4.      14.      13.      36.      17.437],43,B0029,51,1404,01404.csv,1.7224270683625882,,
charge,[2009.       4.      14.      14.       4.      40.828],43,B0029,52,1405,01405.csv,,,
discharge,[2009.       4.      14.      16.      39.      25.031],43,B0029,53,1406,01406.csv,1.7184213765608034,,
charge,[2009.       4.      14.      17.       7.      34.421],43,B0029,54,1407,01407.csv,,,
discharge,[2009.       4.      14.      19.      42.      47.234],43,B0029,55,1408,01408.csv,1.7010220930648232,,
charge,[2009.       4.      14.      20.      10.      51.968],43,B0029,56,1409,01409.csv,,,
discharge,[2009.       4.      14.      22.      45.      53.781],43,B0029,57,1410,01410.csv,1.693698739563104,,
impedance,[2009.       4.      14.      23.      17.      53.031],43,B0029,58,1411,01411.csv,,0.0278705700225645,0.04042561027408763
charge,[2009.     4.    14.    23.    49.    38.5],43,B0029,59,1412,01412.csv,,,
impedance,[2.0090e+03 4.0000e+00 1.5000e+01 2.0000e+00 2.9000e+01 5.3781e+01],43,B0029,60,1413,01413.csv,,0.028154278380978896,0.0403131169157872
discharge,[2009.      4.     15.     14.     58.     30.25],43,B0029,61,1414,01414.csv,1.713072721286705,,
charge,[2009.       4.      15.      15.      26.      47.046],43,B0029,62,1415,01415.csv,,,
discharge,[2.0090e+03 4.0000e+00 1.5000e+01 1.8000e+01 1.0000e+00 4.3843e+01],43,B0029,63,1416,01416.csv,1.6976972688567131,,
charge,[2009.       4.      15.      18.      29.      47.312],43,B0029,64,1417,01417.csv,,,
discharge,[2.0090e+03 4.0000e+00 1.5000e+01 2.1000e+01 2.0000e+00 5.8328e+01],43,B0029,65,1418,01418.csv,1.6899314034061208,,
charge,[2009.      4.     15.     21.     30.     55.25],43,B0029,66,1419,01419.csv,,,
discharge,[2.009e+03 4.000e+00 1.600e+01 0.000e+00 5.000e+00 8.120e-01],43,B0029,67,1420,01420.csv,1.685023551367069,,
charge,[2009.      4.     16.      0.     32.     43.25],43,B0029,68,1421,01421.csv,,,
discharge,[2009.       4.      16.       3.       6.      43.062],43,B0029,69,1422,01422.csv,1.678389965463405,,
impedance,[2009.       4.      16.       3.      38.      19.671],43,B0029,70,1423,01423.csv,,0.027189284962487115,0.040692795471203344
charge,[2009.       4.      16.       4.      10.       5.609],43,B0029,71,1424,01424.csv,,,
impedance,[2009.       4.      16.       6.      50.      32.687],43,B0029,72,1425,01425.csv,,0.02764501503660695,0.04095143890776487
discharge,[2009.      4.     16.     10.     13.     36.39],43,B0029,73,1426,01426.csv,1.6737947494868326,,
charge,[2009.       4.      16.      10.      41.      20.125],43,B0029,74,1427,01427.csv,,,
discharge,[2009.       4.      16.      13.      14.      46.296],43,B0029,75,1428,01428.csv,1.6687898927884715,,
charge,[2009.       4.      16.      13.      42.      26.171],43,B0029,76,1429,01429.csv,,,
discharge,[2009.       4.      16.      16.      16.      19.734],43,B0029,77,1430,01430.csv,1.6492566306631427,,
charge,[2009.       4.      16.      16.      43.      53.531],43,B0029,78,1431,01431.csv,,,
discharge,[2009.       4.      16.      19.      17.      26.531],43,B0029,79,1432,01432.csv,1.6409676757039668,,
charge,[2009.       4.      16.      19.      44.      53.671],43,B0029,80,1433,01433.csv,,,
discharge,[2009.      4.     16.     22.     17.     17.75],43,B0029,81,1434,01434.csv,1.6456360229757092,,
impedance,[2009.       4.      16.      22.      48.      37.781],43,B0029,82,1435,01435.csv,,0.027050163015499288,0.04082422233251372
charge,[2009.       4.      16.      23.      20.      24.234],43,B0029,83,1436,01436.csv,,,
impedance,[2.009e+03 4.000e+00 1.700e+01 2.000e+00 2.000e+00 2.218e+00],43,B0029,84,1437,01437.csv,,0.028256362038714906,0.040573024202236345
discharge,[2009.       4.      17.       9.      45.      34.062],43,B0029,85,1438,01438.csv,1.654547743574037,,
charge,[2009.       4.      17.      10.      13.      13.906],43,B0029,86,1439,01439.csv,,,
discharge,[2009.       4.      17.      12.      46.      29.125],43,B0029,87,1440,01440.csv,1.6461201520877546,,
charge,[2.009e+03 4.000e+00 1.700e+01 1.300e+01 1.400e+01 1.937e+00],43,B0029,88,1441,01441.csv,,,
discharge,[2009.       4.      17.      15.      46.      53.875],43,B0029,89,1442,01442.csv,1.6275119188151763,,
charge,[2009.       4.      17.      16.      14.      10.328],43,B0029,90,1443,01443.csv,,,
discharge,[2009.       4.      17.      18.      47.      33.937],43,B0029,91,1444,01444.csv,1.6200530533464497,,
charge,[2009.       4.      17.      19.      14.      44.062],43,B0029,92,1445,01445.csv,,,
discharge,[2009.       4.      17.      21.      46.      23.796],43,B0029,93,1446,01446.csv,1.612079811711934,,
impedance,[2009.      4.     17.     22.     17.     27.25],43,B0029,94,1447,01447.csv,,0.0282771401308053,0.041414871228234076
charge,[2009.       4.      17.      22.      49.      14.125],43,B0029,95,1448,01448.csv,,,
impedance,[2.0090e+03 4.0000e+00 1.8000e+01 1.0000e+00 2.9000e+01 1.3015e+01],43,B0029,96,1449,01449.csv,,0.02816890978226904,0.04119568604095505
impedance,[2.0090e+03 2.0000e+00 1.3000e+01 1.9000e+01 3.0000e+00 5.2109e+01],24,B0028,0,1450,01450.csv,,0.08141136501428463,0.13435294061149733
charge,[2.0090e+03 2.0000e+00 1.3000e+01 1.9000e+01 3.5000e+01 3.5093e+01],24,B0028,1,1451,01451.csv,,,
impedance,[2.0090e+03 2.0000e+00 1.3000e+01 2.2000e+01 4.0000e+01 4.5046e+01],24,B0028,2,1452,01452.csv,,0.08176458673559299,0.10682087072021014
discharge,[2.0090e+03 2.0000e+00 1.3000e+01 2.3000e+01 1.2000e+01 2.8078e+01],24,B0028,3,1453,01453.csv,1.8046847720100736,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 1.0000e+00 2.0000e+00 2.3062e+01],24,B0028,4,1454,01454.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 4.0000e+00 3.0000e+00 3.4578e+01],24,B0028,5,1455,01455.csv,1.8047833214525881,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 5.0000e+00 5.3000e+01 3.0656e+01],24,B0028,6,1456,01456.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 8.0000e+00 5.4000e+01 4.1468e+01],24,B0028,7,1457,01457.csv,1.797618668222458,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 1.0000e+01 4.4000e+01 1.1093e+01],24,B0028,8,1458,01458.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 1.3000e+01 4.5000e+01 2.3546e+01],24,B0028,9,1459,01459.csv,1.7929913687761174,,
charge,[2.0090e+03 2.0000e+00 1.4000e+01 1.5000e+01 3.4000e+01 3.5156e+01],24,B0028,10,1460,01460.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.4000e+01 1.8000e+01 3.5000e+01 4.0671e+01],24,B0028,11,1461,01461.csv,1.7919180081592216,,
impedance,[2.0090e+03 2.0000e+00 1.4000e+01 2.0000e+01 2.8000e+01 4.7968e+01],24,B0028,12,1462,01462.csv,,0.0808258053141002,0.121797260168767
charge,[2.0090e+03 2.0000e+00 1.4000e+01 2.1000e+01 0.0000e+00 3.1546e+01],24,B0028,13,1463,01463.csv,,,
impedance,[2.009e+03 2.000e+00 1.500e+01 0.000e+00 5.000e+00 9.796e+00],24,B0028,14,1464,01464.csv,,0.08049755262582456,0.10171699274990839
discharge,[2.0090e+03 2.0000e+00 1.8000e+01 1.0000e+01 4.8000e+01 5.8156e+01],24,B0028,15,1465,01465.csv,1.775026135903797,,
impedance,[2.009e+03 2.000e+00 1.800e+01 1.200e+01 4.100e+01 9.765e+00],24,B0028,16,1466,01466.csv,,0.07999808984375359,0.11499739391717384
charge,[2.009e+03 2.000e+00 1.800e+01 1.300e+01 1.200e+01 5.364e+01],24,B0028,17,1467,01467.csv,,,
impedance,[2.0090e+03 2.0000e+00 1.8000e+01 1.6000e+01 1.7000e+01 2.3281e+01],24,B0028,18,1468,01468.csv,,0.07921399064492479,0.10231508026191471
discharge,[2.009e+03 2.000e+00 1.800e+01 1.600e+01 4.900e+01 7.390e+00],24,B0028,19,1469,01469.csv,1.7920487852223415,,
charge,[2.0090e+03 2.0000e+00 1.8000e+01 1.8000e+01 3.8000e+01 2.2812e+01],24,B0028,20,1470,01470.csv,,,
charge,[2.009e+03 2.000e+00 1.800e+01 2.200e+01 2.000e+01 1.140e+00],24,B0028,21,1471,01471.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.9000e+01 0.0000e+00 5.2000e+01 4.9687e+01],24,B0028,22,1472,01472.csv,1.790475801581265,,
charge,[2.009e+03 2.000e+00 1.900e+01 2.000e+00 4.100e+01 5.214e+01],24,B0028,23,1473,01473.csv,,,
discharge,[2.009e+03 2.000e+00 1.900e+01 5.000e+00 3.800e+01 5.714e+01],24,B0028,24,1474,01474.csv,1.7868365091987264,,
charge,[2.0090e+03 2.0000e+00 1.9000e+01 7.0000e+00 2.7000e+01 4.8015e+01],24,B0028,25,1475,01475.csv,,,
discharge,[2.0090e+03 2.0000e+00 1.9000e+01 1.0000e+01 2.5000e+01 1.5218e+01],24,B0028,26,1476,01476.csv,1.7871529619962185,,
impedance,[2.009e+03 2.000e+00 1.900e+01 1.200e+01 1.800e+01 4.484e+00],24,B0028,27,1477,01477.csv,,0.08024079983592583,0.11464434041763144
charge,[2.0090e+03 2.0000e+00 1.9000e+01 1.2000e+01 4.9000e+01 4.8921e+01],24,B0028,28,1478,01478.csv,,,
impedance,[2.0090e+03 2.0000e+00 1.9000e+01 1.5000e+01 5.0000e+01 5.9703e+01],24,B0028,29,1479,01479.csv,,0.07886642794998196,0.1014191126510086
discharge,[2.0090e+03 2.0000e+00 2.0000e+01 9.0000e+00 4.4000e+01 2.6828e+01],24,B0028,30,1480,01480.csv,1.7816340617009505,,
impedance,[2.009e+03 2.000e+00 2.000e+01 1.100e+01 3.700e+01 5.620e-01],24,B0028,31,1481,01481.csv,,0.07929841816780661,0.11507631401626708
charge,[2.0090e+03 2.0000e+00 2.0000e+01 1.2000e+01 8.0000e+00 4.4968e+01],24,B0028,32,1482,01482.csv,,,
impedance,[2.0090e+03 2.0000e+00 2.0000e+01 1.5000e+01 1.1000e+01 4.1671e+01],24,B0028,33,1483,01483.csv,,0.07802684371863831,0.09966656037192485
discharge,[2.009e+03 2.000e+00 2.000e+01 1.500e+01 4.300e+01 2.614e+01],24,B0028,34,1484,01484.csv,1.7850235136604733,,
charge,[2.0090e+03 2.0000e+00 2.0000e+01 1.7000e+01 3.2000e+01 1.0968e+01],24,B0028,35,1485,01485.csv,,,
discharge,[2.009e+03 2.000e+00 2.000e+01 2.000e+01 2.700e+01 8.120e-01],24,B0028,36,1486,01486.csv,1.7803865429693038,,
charge,[2.0090e+03 2.0000e+00 2.0000e+01 2.2000e+01 1.5000e+01 3.0718e+01],24,B0028,37,1487,01487.csv,,,
discharge,[2.0090e+03 2.0000e+00 2.1000e+01 1.0000e+00 1.2000e+01 5.7984e+01],24,B0028,38,1488,01488.csv,1.7789060856417256,,
charge,[2.009e+03 2.000e+00 2.100e+01 3.000e+00 1.000e+00 1.814e+01],24,B0028,39,1489,01489.csv,,,
discharge,[2.009e+03 2.000e+00 2.100e+01 5.000e+00 5.700e+01 5.062e+00],24,B0028,40,1490,01490.csv,1.7738387518973049,,
charge,[2.009e+03 2.000e+00 2.100e+01 7.000e+00 4.500e+01 7.250e+00],24,B0028,41,1491,01491.csv,,,
discharge,[2.0090e+03 2.0000e+00 2.1000e+01 1.0000e+01 4.2000e+01 4.4125e+01],24,B0028,42,1492,01492.csv,1.769682881523146,,
impedance,[2.0090e+03 2.0000e+00 2.1000e+01 1.2000e+01 3.4000e+01 3.2359e+01],24,B0028,43,1493,01493.csv,,0.08031530605845097,0.11179893683290254
charge,[2.009e+03 2.000e+00 2.100e+01 1.300e+01 6.000e+00 1.750e+01],24,B0028,44,1494,01494.csv,,,
impedance,[2.0090e+03 2.0000e+00 2.1000e+01 1.6000e+01 1.0000e+01 3.4171e+01],24,B0028,45,1495,01495.csv,,0.07875491507561636,0.10011466012346665
discharge,[2.0090e+03 3.0000e+00 2.0000e+00 1.6000e+01 3.0000e+01 3.4015e+01],24,B0028,46,1496,01496.csv,1.7408787283206992,,
impedance,[2.0090e+03 3.0000e+00 2.0000e+00 1.8000e+01 2.0000e+01 4.1765e+01],24,B0028,47,1497,01497.csv,,0.081972677815941,0.1078622382729115
charge,[2.0090e+03 3.0000e+00 2.0000e+00 1.8000e+01 5.2000e+01 2.7046e+01],24,B0028,48,1498,01498.csv,,,
impedance,[2.009e+03 3.000e+00 2.000e+00 2.100e+01 4.800e+01 1.710e-01],24,B0028,49,1499,01499.csv,,0.0801951045701426,0.10073699416293035
discharge,[2.0090e+03 3.0000e+00 2.0000e+00 2.2000e+01 1.9000e+01 4.5593e+01],24,B0028,50,1500,01500.csv,1.7648189744011906,,
charge,[2009.       3.       3.       0.       7.      20.781],24,B0028,51,1501,01501.csv,,,
discharge,[2.0090e+03 3.0000e+00 3.0000e+00 2.0000e+00 5.9000e+01 3.9453e+01],24,B0028,52,1502,01502.csv,1.7617857390844023,,
charge,[2009.       3.       3.       4.      47.       3.484],24,B0028,53,1503,01503.csv,,,
discharge,[2009.       3.       3.       7.      39.       7.296],24,B0028,54,1504,01504.csv,1.75770610357021,,
